date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:54	92561/92561	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/logo/home-banner.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/logo/home-banner.png	(from http://127.0.0.1:8000/home/)
13:10:56	1046996/1046996	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/speakers/tom-forbes.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/tom-forbes.png	(from http://127.0.0.1:8000/home/)
13:11:09	121296/121296	---M--	200	added ('OK')	font/woff2	etag:W/%221d9d0-F9rQd2iZrRvq2r0GHDTioiss3nQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	/home/ana/websites/pycon2023_newtry/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-iconsbf04.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
13:11:28	164352/164352	---M--	200	added ('OK')	font/woff	etag:W/%2228200-dZGccXzlxbxxa8UXBcDNC2D0v/w%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	/home/ana/websites/pycon2023_newtry/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-iconsbf04.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
13:11:29	1321006/1321006	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/speakers/darya_petrashka.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/darya_petrashka.png	(from http://127.0.0.1:8000/home/)
13:11:52	250573/250573	---M--	200	added ('OK')	image/jpeg	etag:%22655b782a-3d2cd%22	http://127.0.0.1:8000/static/images/other/last_edition.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/other/last_edition.jpg	(from http://127.0.0.1:8000/static/css/project.min.css)
13:11:54	1697/1697	---M--	200	added ('OK')	image/svg+xml	etag:%22655b782a-6a1%22	http://127.0.0.1:8000/static/images/other/handshake_green.svg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/other/handshake_green.svg	(from http://127.0.0.1:8000/static/css/project.min.css)
13:11:56	965935/965935	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/speakers/lucas.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/lucas.png	(from http://127.0.0.1:8000/home/)
13:11:58	717506/717506	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/speakers/stefanie_molin.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/stefanie_molin.png	(from http://127.0.0.1:8000/home/)
13:11:59	417037/417037	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/speakers/felix-mino.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/felix-mino.png	(from http://127.0.0.1:8000/home/)
13:12:00	15046/15046	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/loggi.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/loggi.png	(from http://127.0.0.1:8000/home/)
13:12:01	46808/46808	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/eps.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/eps.png	(from http://127.0.0.1:8000/home/)
13:12:02	15390/15390	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/dsf.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/dsf.png	(from http://127.0.0.1:8000/home/)
13:12:03	195785/195785	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/cmc.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/cmc.png	(from http://127.0.0.1:8000/home/)
13:12:04	470647/470647	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/cbs_iscac.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/cbs_iscac.png	(from http://127.0.0.1:8000/home/)
13:12:06	173374/173374	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/sponsors/evolutio.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/sponsors/evolutio.png	(from http://127.0.0.1:8000/home/)
13:12:07	19876/19876	URF---	200	added ('OK%20(cached)')	image/png		http://127.0.0.1:8000/static/images/logo/logo_green.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/logo/logo_green.png	(from http://127.0.0.1:8000/home/)
13:12:08	11275/11275	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://127.0.0.1:8000/static/debug_toolbar/js/toolbar.js	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/debug_toolbar/js/toolbar.js	(from http://127.0.0.1:8000/home/)
13:13:48	4434023/4434023	---M--	200	added ('OK')	image/png	etag:%22655b782a-43a867%22	http://127.0.0.1:8000/static/images/speakers/lucas_pires.png	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/speakers/lucas_pires.png	(from http://127.0.0.1:8000/home/)
13:14:44	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2222512-6lnzeyMttt7iaUB4vyHhU6CbrN0%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	/home/ana/websites/pycon2023_newtry/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	(from http://127.0.0.1:8000/home/)
13:14:44	250573/250573	URF---	200	added ('OK%20(cached)')	image/jpeg		http://127.0.0.1:8000/static/images/other/last_edition.jpg	/home/ana/websites/pycon2023_newtry/127.0.0.1_8000/static/images/other/last_edition.jpg	(from http://127.0.0.1:8000/static/css/project.min.css)
13:14:45	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
